channel_period,reward_risk_ratio,max_hold_bars,in_trades,in_avg_r,out_trades,out_avg_r
10,1.5,20,2077,-0.029717094360346884,845,-0.014514043870305875
10,1.5,40,1980,-0.012039193612715278,811,-0.0196307438082961
10,2.0,20,1814,-0.03625106386818826,744,-0.011705904466849782
10,2.0,40,1637,-0.01243735905754144,672,-0.02052836162453146
10,3.0,20,1582,-0.044591390066143446,652,-0.004139460457639793
10,3.0,40,1325,-0.015161318461507357,544,-0.07210565383474171
20,1.5,20,1577,-0.07664394596159571,634,-0.024392198412844592
20,1.5,40,1541,-0.06790354818625725,616,-0.042087880243897
20,2.0,20,1397,-0.11069782743994516,553,-0.004291467125962026
20,2.0,40,1316,-0.06903117998057477,528,-0.018087736575100426
20,3.0,20,1246,-0.09666667674004228,496,-0.0157489157415119
20,3.0,40,1119,-0.07041545570485458,450,-0.10617364829155737
40,1.5,20,1100,-0.03842013314590037,428,-0.08510038361235657
40,1.5,40,1085,-0.03596872919060188,419,-0.10196719100911172
40,2.0,20,980,-0.07489433820203924,377,-0.08001737601373142
40,2.0,40,943,-0.05155937750148643,364,-0.08079092151164304
40,3.0,20,869,-0.018909727744022057,342,-0.09286782998850798
40,3.0,40,808,-0.02088698025194479,321,-0.16650698841560962
55,1.5,20,942,-0.04476507050643999,354,-0.07913766151071616
55,1.5,40,928,-0.045702752619375224,346,-0.0879759272155174
55,2.0,20,846,-0.06940071505542572,316,-0.09898026923943792
55,2.0,40,816,-0.05119607667595317,304,-0.09653334402118507
55,3.0,20,742,-0.030527849659072594,286,-0.08892005572000314
55,3.0,40,687,-0.02554070139618956,269,-0.11701837794848584
