reward_risk_ratio,max_hold_bars,stop_atr_mult,trades,win_rate,avg_r,profit_factor
1.5,10,1.5,305,0.5475409836065573,0.19219523788669376,1.4956775813195375
1.5,15,1.5,305,0.5409836065573771,0.1784646415108122,1.4055557360843582
1.5,20,1.5,305,0.5081967213114754,0.18589720401289753,1.3885234195779588
2.0,10,1.5,303,0.5346534653465347,0.2030293497255062,1.509904676753344
2.0,15,1.5,303,0.5016501650165016,0.17918551856517748,1.3867870473933948
2.0,20,1.5,303,0.46534653465346537,0.1635935642736587,1.319650849617886
2.5,10,1.5,303,0.528052805280528,0.18981651389542403,1.4703696476826296
2.5,15,1.5,303,0.49174917491749176,0.162660827243588,1.3434775248437862
2.5,20,1.5,303,0.44884488448844884,0.14675902817269257,1.2785632498791866
3.0,10,1.5,303,0.528052805280528,0.1930017273861165,1.478262679309143
3.0,15,1.5,303,0.48514851485148514,0.16472405822707098,1.3443620630847308
3.0,20,1.5,303,0.4389438943894389,0.1468642064575214,1.2748409697357064
4.0,10,1.5,303,0.528052805280528,0.20263888471412475,1.5021437748155888
4.0,15,1.5,303,0.48514851485148514,0.17456516812126963,1.364935286830458
4.0,20,1.5,303,0.43564356435643564,0.16769337697099215,1.3136689263398733
