reward_risk_ratio,max_hold_bars,in_trades,in_avg_r,out_trades,out_avg_r
1.5,20,117,-0.010770178700007179,29,0.02698230043891646
1.5,40,117,-0.006774262496008264,29,0.08736240464227343
1.5,60,117,-0.0033977291462172023,29,0.08736240464227343
1.5,90,117,-0.0033977291462172023,29,0.08736240464227343
2.0,20,116,-0.08755248634302819,29,-0.004023247400078074
2.0,40,115,-0.02381215067120651,29,-0.028945900165358848
2.0,60,115,-0.027712463757861943,29,-0.028945900165358848
2.0,90,114,-0.07393092961976817,29,-0.028945900165358848
3.0,20,116,-0.18236044730785175,29,-0.056129336103521194
3.0,40,114,-0.23444941968954197,29,0.0231406469947779
3.0,60,112,-0.3290691493771996,29,0.00553685845533184
3.0,90,111,-0.3455535832659319,29,0.00553685845533184
